net,length_um
net360,391.105µm
net635,390.79µm
net14,390.48µm
net1574,390.3µm
_17699_,389.94µm
_20828_,389.93µm
net152,389.8µm
_07198_,389.62µm
net731,388.47µm
net186,387.965µm
net596,385.94µm
sq_enq_counter\[27\],385.9µm
clknet_5_15__leaf_clk,385.82µm
net201,385.72µm
net385,385.66µm
_17444_,385.325µm
_10411_,384.91µm
_07225_,384.85µm
net407,384.665µm
net557,384.2µm
_17331_,383.4µm
clknet_5_14__leaf_clk,383.24µm
_17601_,383.055µm
_12995_,383.01µm
net370,382.92µm
net307,382.76µm
net716,382.72µm
_17918_,382.495µm
net536,381.82µm
net411,381.7µm
clknet_5_4__leaf_clk,381.7µm
net780,381.68µm
net647,381.265µm
net355,381.255µm
net573,380.395µm
_18292_,379.99µm
clknet_5_8__leaf_clk,379.88µm
_11689_,379.83µm
net588,379.76µm
net669,379.62µm
_17402_,379.55µm
net324,378.99µm
_07139_,378.2µm
net558,378.13µm
net646,378.02µm
net371,376.72µm
net230,376.475µm
_14114_,376.1µm
_12708_,376.05µm
net264,376.03µm
_03943_,375.18µm
net343,374.84µm
_14096_,374.48µm
_19738_,374.3µm
_17768_,374.12µm
clknet_5_18__leaf_clk,373.93µm
_10513_,373.18µm
_05249_,372.46µm
_07208_,372.04µm
net655,371.74µm
_16840_,371.38µm
_07617_,370.6µm
_08706_,370.47µm
_12660_,369.56µm
_03414_,369.5µm
_14099_,369.42µm
net244,369.11µm
_17767_,368.98µm
_10547_,368.88µm
net759,368.24µm
_13915_,368.09µm
net223,367.915µm
net1265,367.8µm
_07677_,367.6µm
net591,367.25µm
_17441_,366.79µm
_17247_,366.39µm
net625,366.32µm
_10876_,366.25µm
net161,365.875µm
net366,365.86µm
net560,365.72µm
net670,365.22µm
_18290_,364.6µm
net666,364.58µm
_10812_,362.94µm
_19698_,362.89µm
_18213_,362.36µm
_13897_,362.35µm
_07006_,362.16µm
net123,361.84µm
net340,361.73µm
_06757_,361.26µm
_07239_,360.33µm
net329,360.16µm
net221,359.96µm
_17329_,359.825µm
net1937,359.78µm
_18533_,359.71µm
net580,359.67µm
_12746_,359.6µm
_12659_,359.48µm
net458,359.06µm
net657,358.54µm
_07386_,358.4µm
_17430_,358.38µm
_07179_,357.835µm
_17376_,357.75µm
net328,357.56µm
net626,356.86µm
net417,356.825µm
net303,356.615µm
_07374_,356.36µm
net468,356.34µm
net416,356.305µm
_17583_,356.23µm
net1138,356.1µm
_08097_,355.64µm
net822,355.29µm
net156,355.22µm
net135,355µm
_11251_,354.97µm
net310,354.94µm
net651,354.88µm
net190,354.77µm
net708,354.62µm
_18231_,354.41µm
net584,353.98µm
_06929_,353.92µm
net318,353.33µm
net779,353.22µm
_16835_,352.94µm
net1298,352.45µm
_04800_,352.27µm
_12705_,352.13µm
_13933_,352.13µm
net317,351.515µm
net546,351.35µm
_04802_,351.18µm
_17610_,350.43µm
net165,349.46µm
_17357_,349.21µm
_07130_,349.11µm
net691,348.65µm
_06890_,348.28µm
net314,347.83µm
_14117_,347.42µm
net681,347.14µm
net346,346.94µm
_17786_,346.89µm
net277,346.74µm
_07990_,345.48µm
net667,345.32µm
net1768,344.87µm
_20646_,344.15µm
_15970_,343.99µm
net309,343.59µm
net953,343.51µm
net698,343.25µm
net1180,343.24µm
_12696_,343.13µm
_12730_,342.93µm
_18296_,342.92µm
net1037,342.61µm
_17950_,342.575µm
net715,342.15µm
net1214,341.98µm
net1276,341.5µm
_17909_,341.28µm
_12667_,341.02µm
_10484_,340.99µm
_11253_,340.37µm
_07089_,340.28µm
net870,340.2µm
_12668_,340.11µm
_12714_,339.97µm
_08352_,339.74µm
_11961_,339.615µm
net1305,339.44µm
_20481_,339.39µm
net1187,339.09µm
_06777_,339.07µm
_12713_,338.98µm
net685,338.74µm
_20097_,338.48µm
u_sq.valid_mem\[3\]\[0\],338.23µm
net660,338.04µm
_20645_,337.86µm
net1767,337.74µm
net568,337.68µm
_03294_,337.63µm
_07396_,337.5µm
_17440_,337.21µm
_10497_,336.9µm
_08854_,336.74µm
ctrl_cmd_word2\[21\],336.6µm
net683,336.6µm
_20456_,336.28µm
ctrl_cmd_word2\[16\],335.86µm
_14549_,335.67µm
_07903_,335.63µm
_10412_,335.62µm
net1133,334.45µm
_09048_,334.415µm
ctrl_cmd_word2\[25\],334.34µm
_13424_,334.18µm
net74,333.94µm
net339,333.8µm
_17317_,333.76µm
net178,333.695µm
_10968_,333.39µm
_10494_,333.22µm
_12645_,333.09µm
_06930_,332.67µm
_19749_,331.99µm
_03905_,331.93µm
_11365_,331.93µm
net954,331.72µm
_14546_,331.51µm
_05749_,331.39µm
net1438,330.775µm
_04092_,330.57µm
net679,330.53µm
_08001_,330.42µm
net1935,330.42µm
net149,330.22µm
_10410_,329.94µm
net312,329.92µm
net126,329.57µm
net563,329.06µm
_18616_,328.65µm
_08003_,328.54µm
net219,328.44µm
net433,328.36µm
_17248_,328.08µm
_19628_,328.01µm
net326,327.92µm
net430,327.845µm
_10878_,327.36µm
net574,327.35µm
_14532_,327.23µm
net15,327.14µm
_10400_,326.07µm
_18264_,325.72µm
net668,325.48µm
net1217,325.35µm
_07875_,325.22µm
_13843_,324.67µm
_10384_,324.55µm
_11924_,324.4µm
net1014,324.16µm
_14548_,323.98µm
_12738_,323.89µm
net130,323.71µm
_10123_,323.325µm
_20643_,323.2µm
_10557_,323.03µm
net462,322.88µm
clknet_5_28__leaf_clk,321.78µm
net202,321.68µm
_10675_,321.44µm
_06971_,321.27µm
_10358_,321.24µm
net125,321.16µm
net499,321.13µm
net144,320.86µm
_12677_,320.74µm
_07018_,320.585µm
net652,320.56µm
net1116,320.43µm
_12676_,320.29µm
net643,320.27µm
_18959_,320.1µm
net1939,319.64µm
net136,319.6µm
_19457_,319.37µm
_10904_,319.22µm
_17576_,318.96µm
_07126_,318.68µm
_17620_,318.655µm
_17968_,318.42µm
_07615_,318.4µm
net207,318.095µm
_06783_,317.93µm
_14059_,317.28µm
net559,317.04µm
net105,317.03µm
_03868_,317µm
sq_enq_id\[2\],316.97µm
net181,316.64µm
clknet_5_24__leaf_clk,316.08µm
net128,315.88µm
net653,315.4µm
_09641_,315.23µm
net1093,315.13µm
net1136,315.08µm
_19441_,315.02µm
net1940,314.9µm
net1169,314.8µm
net1493,314.74µm
net121,314.43µm
_13063_,314.18µm
_05733_,314.085µm
_07488_,314.08µm
net571,313.9µm
net721,313.63µm
_12780_,313.14µm
_02927_,313.06µm
net1242,313.01µm
_06479_,312.96µm
_07015_,312.88µm
net569,312.84µm
_18293_,312.55µm
_08032_,312.5µm
_17327_,312.115µm
net40,312.02µm
net410,311.98µm
_19460_,311.8µm
net1119,311.77µm
net1290,311.72µm
net1238,311.06µm
net296,310.805µm
_12755_,310.4µm
net419,310.175µm
net561,310.1µm
net490,309.95µm
clknet_5_17__leaf_clk,309.56µm
_10389_,309.51µm
_04335_,309.48µm
_13825_,309.15µm
net1262,308.97µm
net323,308.93µm
net665,308.92µm
_11318_,308.76µm
_10946_,308.64µm
_10710_,308.59µm
net545,308.55µm
_08840_,308.32µm
net1171,307.96µm
net27,307.91µm
net1159,307.78µm
net278,307.64µm
net1141,307.36µm
net562,307.15µm
net1762,306.81µm
_14654_,306.53µm
net1201,306.39µm
_12779_,306.06µm
_04019_,305.79µm
_10889_,305.57µm
net1304,305.41µm
_17467_,305.28µm
_19356_,305.15µm
_13787_,305.09µm
_20861_,305.05µm
net1253,304.6µm
_10844_,304.58µm
_14041_,304.57µm
net1118,304.2µm
_19038_,303.96µm
_12725_,303.545µm
_20083_,303.47µm
net1197,303.46µm
_10566_,303.24µm
_11215_,303.23µm
sq_enq_counter\[14\],303.16µm
net333,302.765µm
_17312_,302.7µm
_04012_,302.68µm
_13080_,302.57µm
net644,301.99µm
_06988_,301.91µm
net682,301.88µm
net332,301.85µm
_14005_,301.84µm
net1259,301.595µm
net348,301.31µm
_14077_,301.21µm
_14023_,301.04µm
_10125_,300.91µm
_07434_,300.88µm
_17398_,300.69µm
_06450_,300.44µm
_07042_,300.43µm
net1307,300.4µm
_17385_,299.77µm
_17243_,299.67µm
_06935_,299.59µm
net1145,299.52µm
net494,299.43µm
net1766,299.24µm
net730,299.1µm
net1158,298.94µm
net1333,298.82µm
net722,298.62µm
_07114_,298.48µm
net1174,298.33µm
_10882_,298.27µm
net1303,298.1µm
_17306_,297.94µm
net327,297.87µm
net1266,297.78µm
net1278,297.64µm
net911,297.63µm
ctrl_cmd_word\[13\],297.09µm
_06687_,296.89µm
_08853_,296.7µm
clknet_5_26__leaf_clk,296.64µm
_08901_,296.24µm
_07870_,296.2µm
_12764_,296.17µm
_07166_,296.16µm
net1218,296.11µm
net1206,296.05µm
net1173,296.04µm
_06941_,295.92µm
net137,295.9µm
net642,295.85µm
_09820_,295.51µm
net1277,295.215µm
net555,295.17µm
_18615_,295.06µm
net1194,294.52µm
net1096,294.36µm
net1179,294.33µm
net990,294.26µm
_06908_,293.76µm
_06769_,293.75µm
net702,293.4µm
sq_enq_counter\[2\],293.38µm
net1237,292.8µm
_10401_,292.52µm
net931,292.485µm
net1175,292.46µm
_11012_,292.24µm
_19043_,292.2µm
net1283,291.98µm
_07355_,291.94µm
net547,291.83µm
_06764_,291.56µm
_14677_,291.54µm
net1191,291.46µm
clknet_5_7__leaf_clk,291.46µm
net145,291.13µm
net1274,291.1µm
_14126_,290.92µm
_13951_,290.9µm
clknet_5_16__leaf_clk,290.36µm
_16017_,290.3µm
_07135_,290.24µm
net1297,290.23µm
net120,290.18µm
net624,290.05µm
_10408_,289.885µm
_07049_,289.66µm
net658,289.64µm
_18220_,289.61µm
net1193,289.44µm
_08569_,289.38µm
net1112,289.06µm
clknet_5_6__leaf_clk,288.96µm
net654,288.88µm
_10094_,288.865µm
net641,288.795µm
_20403_,288.76µm
_20968_,288.58µm
_19458_,288.54µm
_09065_,288.13µm
_06470_,288.11µm
_14398_,288.09µm
_07890_,287.78µm
_17293_,287.76µm
net553,287.26µm
net305,287.19µm
net1162,286.68µm
_12695_,286.65µm
net154,286.52µm
_07816_,286.485µm
net113,286.15µm
net1287,286.13µm
net1850,285.88µm
net1936,285.61µm
net662,285.46µm
_10496_,285.2µm
net1056,284.81µm
net114,284.76µm
_13296_,284.66µm
_12756_,284.63µm
_17299_,284.56µm
net1157,284.54µm
_12747_,284.24µm
_00106_,284.18µm
net663,284.01µm
_20850_,283.88µm
net550,283.275µm
net1849,283.13µm
_07370_,282.85µm
net1098,282.83µm
_10561_,282.74µm
_17930_,282.64µm
_12687_,282.52µm
_06474_,282.44µm
net1938,282.19µm
_17683_,282.12µm
_07764_,282.03µm
net1198,281.96µm
_07110_,281.87µm
net707,281.76µm
_19461_,281.66µm
net147,281.3µm
_06773_,280.91µm
net228,280.89µm
net649,280.84µm
_07828_,280.49µm
net1052,280.42µm
net656,280.06µm
_08955_,279.9µm
_14663_,279.82µm
net1234,279.73µm
_03463_,279.56µm
net650,279.535µm
_12646_,279.17µm
clknet_5_23__leaf_clk,279.1µm
net929,279.07µm
_20068_,278.55µm
net565,278.44µm
net1151,278µm
_14120_,277.94µm
net1065,277.89µm
net1100,277.76µm
_07809_,277.735µm
net313,277.68µm
_07192_,277.63µm
_10609_,277.59µm
_12731_,277.59µm
net413,277.375µm
_03774_,277.24µm
_17422_,276.565µm
u_sq.valid_mem\[1\]\[0\],276.55µm
_09856_,275.97µm
net1207,275.87µm
net150,275.67µm
_07154_,275.41µm
_05430_,275.28µm
_07078_,275.225µm
net1164,275.16µm
_07358_,275.15µm
_07935_,274.98µm
net720,274.75µm
_07152_,274.55µm
_18282_,274.5µm
net808,274.22µm
_13861_,274.165µm
_07173_,274.12µm
_20114_,274.07µm
sq_enq_counter\[9\],273.97µm
net418,273.95µm
net1898,273.7µm
net968,273.69µm
_09061_,273.55µm
_08061_,273.45µm
_00105_,273.34µm
_13368_,273.22µm
_09081_,273.18µm
_10491_,272.97µm
net1744,272.92µm
net661,272.8µm
_06893_,272.64µm
net523,272.64µm
_13987_,272.6µm
net1250,272.4µm
net140,272.39µm
net118,272.34µm
net222,272.02µm
_13969_,271.98µm
net1074,271.805µm
net386,271.77µm
u_ctrl.pending_opcode\[3\],271.55µm
net1124,271.48µm
_03898_,271.47µm
net1122,271.18µm
net1249,270.56µm
_19456_,270.16µm
_17770_,269.74µm
clknet_5_20__leaf_clk,269.69µm
net421,269.51µm
_12741_,268.96µm
net1089,268.76µm
_11216_,268.54µm
net1246,268.3µm
_10500_,268.26µm
_17382_,268.04µm
_08851_,268.02µm
_12772_,267.75µm
_10779_,267.7µm
_17284_,267.67µm
_13314_,267.56µm
_09051_,267.42µm
net589,267.19µm
net1264,266.89µm
_07081_,266.88µm
_08065_,266.68µm
_04205_,266.52µm
_14391_,266.41µm
_09300_,266.06µm
_17477_,266.06µm
net109,265.56µm
_03002_,265.55µm
_09809_,265.41µm
_10947_,265.35µm
_07621_,265.275µm
_12782_,265.26µm
_09049_,264.63µm
_17161_,264.4µm
_10508_,264.39µm
net514,264.36µm
_07143_,264.26µm
_17246_,264.25µm
_11280_,264.2µm
_14382_,264.1µm
net989,264.01µm
_11242_,263.69µm
_09628_,263.64µm
ctrl_cmd_word\[8\],263.61µm
_17639_,263.52µm
net1111,263.28µm
net372,263.115µm
_07174_,263.06µm
net442,262.95µm
clknet_5_13__leaf_clk,262.84µm
_00006_,262.67µm
net671,262.34µm
net1211,262.24µm
_12704_,262.13µm
net395,261.92µm
net1230,261.84µm
net215,261.78µm
net1113,260.85µm
_18301_,260.77µm
_08552_,260.66µm
_09276_,260.62µm
u_pq.cell_key_w\[2\]\[0\],260.62µm
_10534_,260.355µm
_07128_,260.34µm
_09225_,260.32µm
_17874_,259.93µm
_12739_,259.87µm
_05720_,259.73µm
net718,259.73µm
_17475_,259.72µm
net286,259.64µm
net1109,259.54µm
_07477_,259.37µm
_19451_,259.34µm
ctrl_cmd_word\[21\],259.05µm
net506,259.01µm
_17390_,259µm
net129,258.83µm
net1248,258.73µm
_10581_,258.18µm
_19052_,258.18µm
net1051,257.69µm
_04342_,257.64µm
_08039_,257.51µm
net1269,257.48µm
_14538_,257.38µm
_17934_,257.28µm
_06858_,257.21µm
_08052_,257.2µm
net1055,257.18µm
_19028_,257.115µm
_15499_,257.02µm
_17476_,256.985µm
_14129_,256.98µm
_06954_,256.78µm
net549,256.53µm
_19046_,256.38µm
net1139,256.3µm
_07832_,256.21µm
_09235_,256.21µm
_12019_,255.985µm
net1128,255.97µm
net1127,255.88µm
_03933_,255.8µm
_14399_,255.52µm
_00107_,255.48µm
_17518_,255.1µm
_21451_,255.01µm
_17281_,255µm
_17952_,254.965µm
_08256_,254.54µm
net1764,254.52µm
_18210_,254.24µm
net1210,254.21µm
net854,253.84µm
net1212,253.82µm
_07406_,253.68µm
_17928_,253.44µm
_17379_,253.43µm
_18229_,253.38µm
ctrl_cmd_word\[23\],253.255µm
_02952_,253.14µm
_03009_,252.94µm
_16403_,252.78µm
net1227,252.76µm
_05252_,252.56µm
_06020_,252.5µm
net116,252.43µm
net677,252.4µm
_19459_,252.36µm
_03340_,252.35µm
_09426_,252.31µm
_10058_,252.25µm
net199,252.22µm
_18250_,252.14µm
_07625_,252.12µm
_08252_,251.99µm
_06957_,251.97µm
u_pq.cell_valid_w\[2\]\[0\],251.94µm
_10124_,251.885µm
sq_enq_counter\[5\],251.82µm
net1004,251.82µm
_08449_,251.69µm
_06968_,251.66µm
_06043_,251.5µm
net1049,251.5µm
net502,251.46µm
_17480_,251.41µm
net1886,251.28µm
_08034_,251.25µm
net1034,251.22µm
net583,251.04µm
_03154_,251µm
net876,250.83µm
net108,250.82µm
_12927_,250.78µm
net1073,250.72µm
net1284,250.485µm
net1131,250.46µm
_09706_,250.42µm
_10402_,249.96µm
_07359_,249.81µm
_12651_,249.74µm
_17605_,249.54µm
_09059_,249.34µm
_17733_,249.14µm
net134,248.56µm
_10415_,248.55µm
clknet_5_12__leaf_clk,248.41µm
net554,248.06µm
_08448_,247.99µm
net1154,247.94µm
_08892_,247.57µm
_18138_,247.57µm
_09045_,247.54µm
_18232_,247.44µm
net501,247.42µm
_10726_,247.41µm
net1161,247.18µm
_12893_,247.02µm
_10909_,246.76µm
net1243,246.74µm
_06872_,246.72µm
_18902_,246.66µm
net434,246.58µm
net1144,246.21µm
_09043_,246.2µm
net1075,246.115µm
net1286,245.94µm
_06897_,245.91µm
_04173_,245.82µm
net994,245.65µm
_12774_,245.53µm
_08043_,245.45µm
net982,245.18µm
net1070,245.13µm
_04840_,245.12µm
net1048,244.88µm
net964,244.78µm
net1184,244.69µm
net1663,244.5µm
_07873_,244.495µm
net1216,244.34µm
_11409_,244.2µm
ctrl_cmd_word\[22\],244.12µm
_10362_,243.88µm
_19445_,243.565µm
_18208_,243.54µm
_07602_,243.5µm
_18244_,243.08µm
_09244_,242.88µm
net930,242.82µm
_17265_,242.52µm
net1289,242.46µm
_10571_,242.43µm
_10923_,242.305µm
net414,242.22µm
net614,242.18µm
_07824_,242.17µm
net823,241.98µm
_17589_,241.94µm
_17371_,241.7µm
net551,241.17µm
net1185,241.17µm
net242,241.02µm
_07121_,240.71µm
net1150,240.6µm
_09275_,240.59µm
net16,240.58µm
net1195,240.56µm
net59,240.5µm
_07157_,240.49µm
_08307_,240.41µm
